parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
practice_intercept_offset[108],0.586,0.049,0.492,0.653,0.017,0.008,9.0,12.0,3.62,79.67868744202727,63.55841192052398,92.1296080061071,,,
practice_intercept_offset[109],0.498,0.045,0.428,0.558,0.015,0.004,10.0,49.0,2.35,64.54271234040729,53.41860809675796,74.71746543074462,,,
practice_intercept_offset[110],0.728,0.051,0.648,0.792,0.018,0.005,9.0,20.0,2.85,107.09345938545982,91.17135758847483,120.78076288406328,,,
practice_intercept_offset[111],0.561,0.046,0.488,0.617,0.016,0.005,10.0,24.0,2.52,75.2424048424499,62.90548499725743,85.33596145380852,,,
practice_intercept_offset[112],0.337,0.04,0.264,0.387,0.014,0.006,10.0,22.0,2.54,40.07390637385353,30.212819630089417,47.255649127313546,,,
practice_intercept_offset[113],0.131,0.034,0.074,0.179,0.012,0.004,10.0,31.0,2.49,13.99677813119904,7.680680549621988,19.60207441678836,,,
practice_intercept_offset[114],0.555,0.048,0.462,0.621,0.017,0.008,9.0,14.0,3.43,74.19409847740755,58.7245303225596,86.0787899662108,,,
practice_intercept_offset[115],0.204,0.041,0.124,0.269,0.013,0.006,11.0,42.0,2.04,22.62981534562105,13.20158709991752,30.865514104646664,,,
practice_intercept_offset[116],0.854,0.057,0.755,0.935,0.02,0.008,9.0,13.0,3.74,134.90241814897198,112.7611523355298,154.72134577390077,,,
practice_intercept_offset[117],1.349,0.073,1.231,1.457,0.026,0.01,8.0,13.0,4.38,285.3570033236299,242.4652477011079,329.3061007215754,,,
practice_intercept_offset[118],0.652,0.049,0.563,0.717,0.017,0.007,9.0,14.0,2.93,91.9375744308914,75.59324037071788,104.8279146723384,,,
practice_intercept_offset[119],0.795,0.055,0.696,0.871,0.019,0.008,9.0,12.0,3.71,121.44409968040746,100.57137852036884,138.92989582311458,,,
practice_intercept_offset[120],0.443,0.044,0.358,0.502,0.015,0.007,9.0,15.0,3.11,55.73723343417794,43.0465620479898,65.20220128834644,,,
practice_intercept_offset[121],0.304,0.041,0.226,0.358,0.014,0.007,9.0,19.0,2.93,35.52690560896716,25.357566527818687,43.0465620479898,,,
practice_intercept_offset[122],0.535,0.047,0.447,0.6,0.016,0.007,9.0,14.0,3.04,70.74482422542117,56.36142992864181,82.21188003905088,,,
practice_intercept_offset[123],0.352,0.044,0.267,0.414,0.014,0.006,10.0,36.0,2.12,42.19085237185774,30.60404463306543,51.285712688439446,,,
practice_intercept_offset[124],0.372,0.041,0.307,0.428,0.014,0.004,10.0,34.0,2.44,45.06329812931589,35.93409680719806,53.41860809675796,,,
practice_intercept_offset[125],0.583,0.047,0.5,0.645,0.016,0.006,9.0,14.0,2.85,79.14045912584665,64.87212707001282,90.59870292719228,,,
practice_intercept_offset[126],0.549,0.049,0.46,0.622,0.016,0.006,11.0,37.0,2.03,73.15206311872335,58.407398499448185,86.2649618265929,,,
practice_intercept_offset[127],0.273,0.04,0.196,0.326,0.014,0.007,9.0,19.0,3.02,31.390024482473923,21.652690533431617,38.54153688727846,,,
practice_intercept_offset[128],-0.2,0.035,-0.266,-0.139,0.011,0.004,12.0,35.0,1.82,-18.12692469220182,-23.356087249898096,-12.977197154174846,,,
practice_intercept_offset[129],0.19,0.039,0.113,0.242,0.013,0.007,9.0,22.0,3.12,20.92495976572515,11.963193294858598,27.379419281619487,,,
practice_intercept_offset[130],0.448,0.045,0.363,0.509,0.015,0.007,9.0,15.0,2.95,56.51786956535216,43.76358592412095,66.36267361190586,,,
practice_intercept_offset[131],0.223,0.037,0.163,0.278,0.013,0.004,9.0,23.0,2.67,24.9820573735984,17.7036689688467,32.048619720909535,,,
practice_intercept_offset[132],-0.001,0.035,-0.07,0.046,0.012,0.006,9.0,24.0,2.73,-0.0999500166624978,-6.760618009405183,4.707441095693721,,,
practice_intercept_offset[133],0.387,0.044,0.302,0.446,0.015,0.008,9.0,15.0,3.35,47.255649127313546,35.25612267094822,56.20514665337439,,,
practice_intercept_offset[134],0.619,0.05,0.524,0.691,0.017,0.008,9.0,14.0,3.22,85.70700429587728,68.87692344784637,99.57102459664613,,,
practice_intercept_offset[135],-0.051,0.033,-0.108,0.011,0.011,0.005,10.0,24.0,2.25,-4.972132946757313,-10.237240356956512,1.106072244471945,,,
practice_intercept_offset[136],0.503,0.046,0.417,0.568,0.016,0.007,9.0,14.0,3.22,65.367486118276,51.74025129350848,76.47340515084595,,,
practice_intercept_offset[137],0.26,0.04,0.181,0.314,0.014,0.007,9.0,17.0,3.27,29.69300866657718,19.841517929319963,36.88897365473756,,,
practice_intercept_offset[138],0.08,0.034,0.026,0.137,0.012,0.005,9.0,22.0,2.82,8.328706767495863,2.634094847344204,14.682814852039815,,,
practice_intercept_offset[139],-0.892,0.035,-0.962,-0.837,0.012,0.005,10.0,24.0,2.35,-59.0164737988921,-61.78721345213349,-56.69924003591223,,,
practice_intercept_offset[140],-0.133,0.029,-0.181,-0.082,0.01,0.004,9.0,22.0,2.81,-12.45349078912289,-16.556464130421045,-7.872804130365141,,,
