parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
practice_intercept_offset[6137],-2.688,0.047,-2.775,-2.595,0.013,0.007,12.0,30.0,1.69,-93.19831628970631,-93.76505233103266,-92.53541239255645
practice_intercept_offset[6138],-2.16,0.046,-2.245,-2.069,0.014,0.006,12.0,31.0,1.79,-88.46748789619376,-89.40724596264546,-87.3687969399329
practice_intercept_offset[6139],-2.944,0.037,-3.012,-2.865,0.009,0.005,16.0,40.0,1.43,-94.73453118141107,-95.08068060793906,-94.3016868867966
practice_intercept_offset[6140],-1.309,0.036,-1.371,-1.232,0.01,0.004,13.0,44.0,1.68,-72.9909988603919,-74.61470203956134,-70.82914232788757
practice_intercept_offset[6141],0.396,0.039,0.327,0.477,0.013,0.009,9.0,12.0,2.74,48.58693175513898,38.68014771803021,61.12334440542406
practice_intercept_offset[6142],-1.121,0.043,-1.223,-1.037,0.014,0.011,11.0,17.0,2.04,-67.40463220860526,-70.56541963685467,-64.5483361857535
practice_intercept_offset[6143],-1.038,0.044,-1.128,-0.947,0.013,0.008,12.0,20.0,1.81,-64.58377012964299,-67.63200305674633,-61.20970113988891
practice_intercept_offset[6144],-0.187,0.044,-0.268,-0.1,0.009,0.003,23.0,112.0,1.24,-17.05562636145961,-23.509221889713604,-9.51625819640405
practice_intercept_offset[6145],-1.511,0.034,-1.578,-1.443,0.009,0.004,14.0,35.0,1.58,-77.93108216004013,-79.36125393737396,-76.37819594843863
practice_intercept_offset[6146],-1.842,0.031,-1.913,-1.787,0.009,0.005,12.0,16.0,1.71,-84.14998913220917,-85.23631888684466,-83.253819775131
practice_intercept_offset[6147],-1.314,0.046,-1.399,-1.217,0.013,0.008,13.0,19.0,1.67,-73.12570681556056,-75.31563157548602,-70.38828127099299
practice_intercept_offset[6148],-0.596,0.031,-0.653,-0.537,0.01,0.005,10.0,27.0,2.27,-44.89887210086593,-47.95180137107168,-41.55008778774176
practice_intercept_offset[6149],-0.701,0.044,-0.783,-0.617,0.015,0.008,9.0,19.0,2.81,-50.39110333024735,-54.29671459629222,-46.04393059200057
practice_intercept_offset[6150],-1.565,0.048,-1.644,-1.463,0.016,0.009,10.0,17.0,2.56,-79.0911986826717,-80.67943281049862,-76.84593900754741
practice_intercept_offset[6151],-4.032,0.05,-4.127,-3.93,0.013,0.006,15.0,40.0,1.49,-98.22611831812752,-98.3868800095562,-98.03563274469347
practice_intercept_offset[6152],-0.988,0.036,-1.051,-0.916,0.01,0.003,14.0,69.0,1.57,-62.767941194684475,-65.04120137273897,-59.988369034369505
practice_intercept_offset[6153],-2.004,0.051,-2.088,-1.895,0.017,0.01,10.0,17.0,2.41,-86.52049766562018,-87.606524237164,-84.96816649535997
practice_intercept_offset[6154],-3.138,0.037,-3.217,-3.074,0.008,0.004,20.0,45.0,1.29,-95.66305498788951,-95.99248965868694,-95.37641588874239
practice_intercept_offset[6155],-1.198,0.046,-1.283,-1.101,0.013,0.008,13.0,19.0,1.65,-69.82027968737566,-72.27955615305434,-66.74616210055413
practice_intercept_offset[6156],-0.575,0.035,-0.636,-0.512,0.011,0.003,12.0,47.0,1.81,-43.72951311930443,-47.05941822913054,-40.07042121544616
