,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A83027],0.214,0.09,0.045,0.384,0.0,0.001,33576.0,19438.0,1.0
1|practice_id[A83028],0.25,0.09,0.079,0.42,0.0,0.001,33166.0,19418.0,1.0
1|practice_id[A83029],-0.378,0.089,-0.542,-0.205,0.0,0.001,32005.0,20361.0,1.0
1|practice_id[A83031],0.153,0.09,-0.014,0.322,0.0,0.001,32851.0,19656.0,1.0
1|practice_id[A83032],0.091,0.089,-0.071,0.264,0.001,0.001,30858.0,19837.0,1.0
1|practice_id[A83033],-0.057,0.091,-0.226,0.115,0.0,0.001,36293.0,19676.0,1.0
1|practice_id[A83034],0.231,0.09,0.069,0.404,0.001,0.001,32111.0,19284.0,1.0
1|practice_id[A83037],0.421,0.09,0.246,0.583,0.0,0.001,33024.0,19507.0,1.0
1|practice_id[A83038],0.036,0.091,-0.136,0.206,0.0,0.001,38435.0,19554.0,1.0
1|practice_id[A83040],0.104,0.089,-0.063,0.271,0.001,0.001,27975.0,19153.0,1.0
1|practice_id[A83041],0.649,0.09,0.484,0.825,0.0,0.001,34646.0,20211.0,1.0
1|practice_id[A83042],0.464,0.115,0.254,0.685,0.001,0.001,28441.0,19656.0,1.0
1|practice_id[A83043],-0.197,0.09,-0.367,-0.028,0.0,0.001,35141.0,20155.0,1.0
1|practice_id[A83044],0.34,0.09,0.175,0.511,0.0,0.001,36098.0,18933.0,1.0
1|practice_id[A83045],0.099,0.089,-0.067,0.268,0.0,0.001,33877.0,19590.0,1.0
1|practice_id[A83046],0.297,0.091,0.127,0.468,0.001,0.001,31796.0,19484.0,1.0
1|practice_id[A83047],0.122,0.09,-0.047,0.293,0.001,0.001,32207.0,19848.0,1.0
1|practice_id[A83048],-0.003,0.091,-0.168,0.172,0.0,0.001,33482.0,18727.0,1.0
1|practice_id[A83049],0.053,0.09,-0.114,0.225,0.0,0.001,33310.0,20262.0,1.0
1|practice_id[A83050],0.013,0.091,-0.155,0.19,0.0,0.001,40681.0,19604.0,1.0
1|practice_id[A83051],-0.155,0.09,-0.326,0.015,0.0,0.001,34853.0,19825.0,1.0
1|practice_id[A83054],0.179,0.091,0.013,0.354,0.001,0.001,31310.0,19664.0,1.0
1|practice_id[A83055],-0.358,0.09,-0.524,-0.187,0.001,0.001,31146.0,18491.0,1.0
1|practice_id[A83057],-0.253,0.09,-0.421,-0.083,0.0,0.001,33174.0,19859.0,1.0
1|practice_id[A83060],0.194,0.091,0.019,0.362,0.001,0.001,33123.0,19533.0,1.0
1|practice_id[A83061],-0.101,0.092,-0.278,0.068,0.001,0.001,30269.0,18754.0,1.0
1|practice_id[A83066],0.019,0.09,-0.146,0.192,0.001,0.001,28627.0,19688.0,1.0
1|practice_id[A83068],-0.136,0.22,-0.549,0.278,0.001,0.001,24565.0,18845.0,1.0
1|practice_id[A83070],0.036,0.091,-0.139,0.203,0.0,0.001,33724.0,20131.0,1.0
1|practice_id[A83071],-0.37,0.091,-0.536,-0.194,0.0,0.001,33374.0,18815.0,1.0
1|practice_id[A83073],0.253,0.091,0.081,0.424,0.0,0.001,40748.0,19513.0,1.0
1|practice_id[A83074],0.251,0.09,0.081,0.419,0.001,0.001,30331.0,19059.0,1.0
1|practice_id[A83075],-0.47,0.091,-0.643,-0.302,0.0,0.001,33260.0,19087.0,1.0
1|practice_id[A83076],-0.059,0.111,-0.267,0.15,0.001,0.001,30258.0,18431.0,1.0
1|practice_id[A83610],-0.019,0.089,-0.179,0.155,0.001,0.001,29510.0,19322.0,1.0
1|practice_id[A83616],-0.307,0.09,-0.481,-0.144,0.0,0.001,35766.0,20209.0,1.0
1|practice_id[A83618],-0.075,0.09,-0.239,0.099,0.0,0.001,35529.0,19057.0,1.0
1|practice_id[A83619],-0.072,0.09,-0.236,0.1,0.001,0.001,31437.0,19352.0,1.0
1|practice_id[A83626],-0.152,0.091,-0.314,0.026,0.001,0.001,31929.0,20131.0,1.0
1|practice_id[A83627],0.355,0.09,0.185,0.523,0.001,0.001,26457.0,18923.0,1.0
1|practice_id[A83632],0.201,0.091,0.032,0.372,0.0,0.001,37416.0,20948.0,1.0
1|practice_id[A83634],0.115,0.09,-0.054,0.283,0.001,0.001,29248.0,19523.0,1.0
1|practice_id[A83635],0.321,0.091,0.152,0.496,0.0,0.001,33768.0,19382.0,1.0
1|practice_id[A83636],0.447,0.091,0.277,0.617,0.001,0.001,31279.0,19855.0,1.0
1|practice_id[A83637],-0.567,0.091,-0.741,-0.401,0.0,0.001,35602.0,19608.0,1.0
1|practice_id[A83638],-0.56,0.169,-0.883,-0.248,0.001,0.001,26799.0,18734.0,1.0
1|practice_id[A83641],0.739,0.091,0.572,0.913,0.0,0.001,33179.0,19222.0,1.0
1|practice_id[A83644],0.331,0.091,0.156,0.497,0.0,0.001,33955.0,18870.0,1.0
1|practice_id[A84002],0.263,0.091,0.093,0.437,0.0,0.001,36309.0,20041.0,1.0
1|practice_id[A84003],0.538,0.09,0.369,0.706,0.0,0.001,32636.0,19408.0,1.0
1|practice_id[A84005],0.155,0.09,-0.01,0.325,0.0,0.001,35222.0,19656.0,1.0
1|practice_id[A84006],-0.007,0.09,-0.183,0.158,0.0,0.001,33701.0,19940.0,1.0
1|practice_id[A84007],-0.166,0.091,-0.335,0.005,0.001,0.001,29807.0,19631.0,1.0
1|practice_id[A84008],0.281,0.09,0.115,0.452,0.001,0.001,31645.0,19204.0,1.0
1|practice_id[A84009],-0.057,0.091,-0.23,0.113,0.001,0.001,31064.0,20478.0,1.0
1|practice_id[A84011],-0.16,0.089,-0.33,0.007,0.001,0.001,30146.0,20597.0,1.0
1|practice_id[A84013],-0.015,0.09,-0.186,0.151,0.0,0.001,33330.0,19925.0,1.0
1|practice_id[A84014],-0.109,0.089,-0.275,0.058,0.0,0.001,32180.0,19471.0,1.0
1|practice_id[A84015],0.627,0.09,0.453,0.795,0.0,0.001,33305.0,18483.0,1.0
1|practice_id[A84018],-0.039,0.091,-0.21,0.13,0.001,0.001,31940.0,18430.0,1.0
1|practice_id[A84020],0.207,0.09,0.034,0.374,0.0,0.001,35202.0,19440.0,1.0
1|practice_id[A84021],1.31,0.146,1.038,1.584,0.001,0.001,28411.0,17463.0,1.0
1|practice_id[A84022],0.303,0.09,0.128,0.464,0.0,0.001,32630.0,19543.0,1.0
1|practice_id[A84024],0.059,0.102,-0.131,0.254,0.0,0.001,56207.0,16794.0,1.0
1|practice_id[A84025],-0.609,0.198,-0.981,-0.236,0.001,0.001,31541.0,18987.0,1.0
1|practice_id[A84026],0.181,0.091,0.01,0.349,0.001,0.001,31940.0,19509.0,1.0
1|practice_id[A84027],-0.254,0.09,-0.417,-0.08,0.0,0.001,34790.0,19733.0,1.0
1|practice_id[A84028],-0.126,0.091,-0.294,0.047,0.0,0.001,33365.0,19494.0,1.0
