,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A83638],-0.561,0.17,-0.882,-0.24,0.001,0.001,25458.0,17835.0,1.0
1|practice_id[A83641],0.736,0.091,0.559,0.901,0.001,0.001,31650.0,19795.0,1.0
1|practice_id[A83644],0.327,0.091,0.151,0.495,0.001,0.001,32219.0,19437.0,1.0
1|practice_id[A84002],0.255,0.092,0.081,0.423,0.001,0.001,31220.0,19888.0,1.0
1|practice_id[A84003],0.533,0.09,0.362,0.7,0.0,0.001,32651.0,19209.0,1.0
1|practice_id[A84005],0.151,0.09,-0.02,0.321,0.001,0.001,29155.0,18165.0,1.0
1|practice_id[A84006],-0.015,0.091,-0.185,0.159,0.001,0.001,30975.0,19529.0,1.0
1|practice_id[A84007],-0.172,0.09,-0.344,-0.004,0.001,0.001,30481.0,19301.0,1.0
1|practice_id[A84008],0.273,0.09,0.109,0.445,0.001,0.001,31271.0,20538.0,1.0
1|practice_id[A84009],-0.062,0.091,-0.232,0.11,0.001,0.001,31693.0,20174.0,1.0
1|practice_id[A84011],-0.166,0.091,-0.34,-0.0,0.0,0.001,33198.0,19252.0,1.0
1|practice_id[A84013],-0.019,0.09,-0.188,0.149,0.001,0.001,29585.0,19227.0,1.0
1|practice_id[A84014],-0.113,0.091,-0.286,0.053,0.0,0.001,32892.0,20081.0,1.0
1|practice_id[A84015],0.621,0.09,0.447,0.786,0.001,0.001,30232.0,19833.0,1.0
1|practice_id[A84018],-0.047,0.09,-0.223,0.116,0.001,0.001,29529.0,19178.0,1.0
1|practice_id[A84020],0.201,0.09,0.033,0.371,0.001,0.001,29975.0,18018.0,1.0
