parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
slope_re_offset[3658],0.266,0.255,-0.587,0.504,0.108,0.121,8.0,12.0,1.6,30.473505868692797,-44.400723644216335,65.5329363157055
slope_re_offset[3659],-0.588,0.313,-1.243,-0.173,0.148,0.085,5.0,14.0,2.01,-44.45629513019818,-71.14826337870387,-15.886238515537677
slope_re_offset[3660],-0.137,0.757,-1.659,0.404,0.374,0.221,6.0,29.0,1.73,-12.80297738678906,-80.96707858171901,49.78039469581388
slope_re_offset[3661],0.723,0.262,0.479,1.543,0.102,0.098,7.0,11.0,1.68,106.06057644771548,61.445913555862305,367.8605053463718
slope_re_offset[3662],-0.395,0.336,-1.372,-0.053,0.154,0.174,7.0,11.0,1.71,-32.631996075113236,-74.64007464910262,-5.161998751770181
slope_re_offset[3663],0.006,0.804,-2.07,0.506,0.391,0.386,5.0,17.0,2.41,0.6018036054064924,-87.38142182949612,65.8643334750305
slope_re_offset[3664],-0.227,0.191,-0.738,-0.022,0.064,0.062,11.0,37.0,1.4,-20.307921770986038,-52.19309017836225,-2.175976494878995
slope_re_offset[3665],0.067,0.393,-0.808,0.377,0.185,0.138,6.0,14.0,1.89,6.9295478174600245,-55.42513273350398,45.790430937122586
slope_re_offset[3666],-0.355,0.485,-1.266,0.011,0.24,0.139,6.0,31.0,1.83,-29.882655679142754,-71.80428020829972,1.106072244471945
slope_re_offset[3667],0.421,0.272,0.199,0.987,0.132,0.081,5.0,16.0,2.04,52.34842784087539,22.018196589987248,168.3172867385862
slope_re_offset[3668],-0.077,0.621,-1.374,0.402,0.305,0.191,5.0,17.0,2.18,-7.411014639350466,-74.69074381375005,49.481133267604264
slope_re_offset[3669],0.929,0.257,0.674,1.571,0.112,0.108,6.0,12.0,1.77,153.19759352725134,96.20699246831083,381.14572460943583
slope_re_offset[3670],0.066,0.244,-0.322,0.829,0.09,0.094,6.0,13.0,1.93,6.822671716599338,-27.53018096700971,129.10265678011643
slope_re_offset[3671],-0.478,0.482,-1.961,-0.074,0.228,0.25,7.0,12.0,1.6,-37.997780301800596,-85.92823670941361,-7.132830615871278
slope_re_offset[3672],0.259,0.166,0.07,0.678,0.068,0.048,6.0,15.0,1.83,29.563380482804845,7.250818125421654,96.99339218909297
slope_re_offset[3673],-0.002,0.097,-0.292,0.188,0.037,0.031,7.0,11.0,1.57,-0.1998001332666921,-25.323146402664285,20.683351534960526
slope_re_offset[3674],-0.021,0.28,-0.626,0.223,0.136,0.082,5.0,29.0,2.18,-2.078103543054044,-46.52735653680025,24.982057373598398
slope_re_offset[3675],0.03,0.397,-0.845,0.553,0.181,0.114,5.0,25.0,2.5,3.045453395351694,-57.044264178926085,73.84605843650698
slope_re_offset[3676],-0.001,0.153,-0.411,0.249,0.066,0.071,6.0,12.0,1.7,-0.09995001666249781,-33.701306839927256,28.27420330698114
slope_re_offset[3677],0.41,0.094,0.245,0.631,0.032,0.028,11.0,17.0,1.36,50.681778511285344,27.76213132048866,87.94891289619105
slope_re_offset[3678],0.028,0.868,-1.583,0.672,0.431,0.255,5.0,12.0,2.37,2.839568442142504,-79.46419011279824,95.81497063588058
slope_re_offset[3679],0.589,0.187,0.119,0.812,0.086,0.083,6.0,16.0,1.86,80.21853286760772,12.636991828835287,125.24083014645075
slope_re_offset[3680],1.004,0.36,0.711,2.057,0.117,0.134,9.0,21.0,1.45,172.91767310515334,103.60262672401097,682.2467172471239
slope_re_offset[3681],-0.358,0.579,-0.84,0.837,0.276,0.19,5.0,14.0,2.23,-30.09269249934743,-56.82894765709203,130.94282890863056
slope_re_offset[3682],0.251,0.336,-0.339,1.293,0.145,0.166,6.0,12.0,1.68,28.53100843311953,-28.75175509108082,264.3701279319376
slope_re_offset[3683],0.276,0.311,0.018,1.039,0.153,0.14,5.0,22.0,2.01,31.784786402730326,1.8162976389793695,182.63892114742964
slope_re_offset[3684],0.12,0.24,-0.441,0.887,0.048,0.113,24.0,14.0,1.56,12.749685157937574,-35.66072934270438,142.7835209469566
