,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A82026],0.454,0.09,0.288,0.625,0.0,0.001,36376.0,19282.0,1.0
1|practice_id[A82027],-0.263,0.089,-0.433,-0.097,0.0,0.001,35332.0,19014.0,1.0
1|practice_id[A82029],0.2,0.09,0.029,0.37,0.0,0.001,38160.0,18824.0,1.0
1|practice_id[A82030],-0.227,0.091,-0.403,-0.062,0.0,0.001,36013.0,17839.0,1.0
1|practice_id[A82031],0.181,0.09,0.013,0.35,0.0,0.001,39845.0,18508.0,1.0
1|practice_id[A82032],0.79,0.091,0.62,0.962,0.0,0.001,38336.0,19428.0,1.0
1|practice_id[A82033],0.37,0.09,0.2,0.539,0.0,0.001,37487.0,17979.0,1.0
1|practice_id[A82034],0.119,0.097,-0.066,0.295,0.001,0.001,37052.0,18126.0,1.0
1|practice_id[A82035],0.27,0.091,0.094,0.435,0.0,0.001,37468.0,17567.0,1.0
1|practice_id[A82036],0.249,0.09,0.078,0.415,0.0,0.001,39094.0,19131.0,1.0
1|practice_id[A82037],0.194,0.09,0.026,0.362,0.0,0.001,36220.0,17548.0,1.0
1|practice_id[A82038],0.224,0.091,0.061,0.4,0.0,0.001,35935.0,18677.0,1.0
1|practice_id[A82039],0.488,0.09,0.32,0.657,0.0,0.001,36166.0,19893.0,1.0
1|practice_id[A82040],-0.6,0.172,-0.927,-0.282,0.001,0.001,33150.0,18523.0,1.0
1|practice_id[A82041],-0.075,0.09,-0.242,0.097,0.0,0.001,37687.0,18576.0,1.0
1|practice_id[A82044],0.247,0.1,0.06,0.433,0.0,0.001,53545.0,17008.0,1.0
1|practice_id[A82045],0.241,0.091,0.065,0.407,0.0,0.001,39641.0,19954.0,1.0
1|practice_id[A82047],-0.591,0.09,-0.763,-0.428,0.0,0.001,39179.0,18100.0,1.0
1|practice_id[A82048],0.238,0.091,0.072,0.413,0.0,0.001,37618.0,18271.0,1.0
1|practice_id[A82049],0.623,0.09,0.454,0.793,0.0,0.001,32806.0,18269.0,1.0
1|practice_id[A82050],0.504,0.091,0.335,0.675,0.0,0.001,35952.0,19156.0,1.0
1|practice_id[A82052],0.485,0.179,0.143,0.815,0.001,0.001,34926.0,18237.0,1.0
1|practice_id[A82053],-0.573,0.091,-0.741,-0.402,0.0,0.001,38680.0,19257.0,1.0
1|practice_id[A82055],0.085,0.09,-0.082,0.258,0.0,0.001,38366.0,17802.0,1.0
1|practice_id[A82057],0.412,0.186,0.058,0.759,0.001,0.001,32436.0,18126.0,1.0
1|practice_id[A82058],0.496,0.09,0.328,0.665,0.0,0.001,38766.0,20171.0,1.0
1|practice_id[A82060],0.402,0.107,0.208,0.612,0.001,0.001,33669.0,19779.0,1.0
1|practice_id[A82062],-0.059,0.09,-0.227,0.115,0.0,0.001,40235.0,19077.0,1.0
1|practice_id[A82064],0.22,0.1,0.036,0.41,0.0,0.001,54002.0,17619.0,1.0
1|practice_id[A82065],0.479,0.09,0.31,0.648,0.0,0.001,33585.0,19327.0,1.0
1|practice_id[A82068],-0.029,0.091,-0.2,0.14,0.0,0.001,36635.0,17435.0,1.0
1|practice_id[A82071],0.154,0.089,-0.018,0.316,0.0,0.001,38604.0,19714.0,1.0
1|practice_id[A82072],0.467,0.089,0.301,0.638,0.0,0.001,35360.0,18658.0,1.0
1|practice_id[A82074],-0.332,0.136,-0.577,-0.065,0.001,0.001,36051.0,19553.0,1.0
1|practice_id[A82075],-0.02,0.091,-0.194,0.147,0.0,0.001,38201.0,19239.0,1.0
1|practice_id[A82077],0.428,0.091,0.256,0.593,0.0,0.001,38389.0,19044.0,1.0
1|practice_id[A82608],-0.213,0.09,-0.387,-0.049,0.0,0.001,35587.0,19804.0,1.0
1|practice_id[A82613],0.187,0.161,-0.119,0.486,0.001,0.001,42035.0,18762.0,1.0
1|practice_id[A82617],0.014,0.09,-0.153,0.184,0.0,0.001,38268.0,19096.0,1.0
1|practice_id[A82619],-0.54,0.227,-0.961,-0.102,0.001,0.002,35811.0,18770.0,1.0
1|practice_id[A82621],0.077,0.09,-0.089,0.248,0.0,0.001,38431.0,19427.0,1.0
1|practice_id[A82623],0.254,0.091,0.08,0.42,0.0,0.001,38791.0,19574.0,1.0
1|practice_id[A82629],0.637,0.09,0.47,0.808,0.0,0.001,38193.0,19612.0,1.0
1|practice_id[A82631],0.015,0.09,-0.152,0.185,0.0,0.001,34540.0,19178.0,1.0
1|practice_id[A82635],-0.777,0.224,-1.194,-0.353,0.001,0.001,34320.0,18687.0,1.0
1|practice_id[A82641],-0.843,0.227,-1.268,-0.418,0.001,0.002,31008.0,17417.0,1.0
1|practice_id[A82642],-0.055,0.203,-0.439,0.323,0.001,0.001,31015.0,17495.0,1.0
1|practice_id[A82646],0.599,0.09,0.426,0.761,0.0,0.001,35476.0,19291.0,1.0
