name,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[K83033],0.22,0.088,0.051,0.394,0.0,0.001,32460.0,20257.0,1.0
1|practice_id[K83035],-0.328,0.087,-0.496,-0.155,0.0,0.001,31521.0,19414.0,1.0
1|practice_id[K83036],0.025,0.086,-0.138,0.197,0.001,0.001,28794.0,20491.0,1.0
1|practice_id[K83037],0.07,0.086,-0.093,0.241,0.001,0.001,28741.0,19310.0,1.0
1|practice_id[K83039],-0.231,0.085,-0.397,-0.066,0.001,0.0,26774.0,19853.0,1.0
1|practice_id[K83040],-0.306,0.088,-0.475,-0.128,0.001,0.001,29758.0,19481.0,1.0
1|practice_id[K83041],-0.148,0.087,-0.314,0.027,0.0,0.001,31120.0,19701.0,1.0
1|practice_id[K83042],-0.351,0.087,-0.519,-0.178,0.0,0.001,32137.0,18134.0,1.0
1|practice_id[K83043],0.009,0.088,-0.163,0.179,0.001,0.001,28872.0,19386.0,1.0
1|practice_id[K83044],-0.031,0.085,-0.195,0.137,0.0,0.0,29741.0,20331.0,1.0
1|practice_id[K83047],-0.458,0.086,-0.624,-0.285,0.0,0.001,30117.0,20167.0,1.0
1|practice_id[K83048],-0.192,0.085,-0.364,-0.028,0.001,0.001,28082.0,19057.0,1.0
1|practice_id[K83049],0.238,0.086,0.072,0.408,0.0,0.001,32398.0,19586.0,1.0
1|practice_id[K83050],-0.481,0.087,-0.653,-0.311,0.0,0.001,31128.0,19134.0,1.0
1|practice_id[K83051],-0.202,0.086,-0.367,-0.03,0.001,0.001,27861.0,19146.0,1.0
1|practice_id[K83052],0.071,0.085,-0.099,0.236,0.001,0.0,27626.0,20849.0,1.0
1|practice_id[K83053],-0.075,0.086,-0.238,0.098,0.0,0.001,30708.0,20192.0,1.0
1|practice_id[K83055],-0.119,0.086,-0.288,0.05,0.001,0.001,28551.0,18786.0,1.0
1|practice_id[K83056],-0.06,0.087,-0.23,0.111,0.0,0.001,31077.0,19962.0,1.0
1|practice_id[K83058],-0.686,0.137,-0.946,-0.414,0.001,0.001,25933.0,18733.0,1.0
1|practice_id[K83059],-0.36,0.087,-0.531,-0.192,0.001,0.001,27264.0,19181.0,1.0
1|practice_id[K83064],-0.052,0.086,-0.219,0.117,0.0,0.001,29356.0,20300.0,1.0
1|practice_id[K83065],-0.021,0.086,-0.193,0.148,0.001,0.001,28373.0,18892.0,1.0
1|practice_id[K83066],0.174,0.086,0.009,0.346,0.0,0.001,32134.0,19320.0,1.0
1|practice_id[K83068],-0.192,0.085,-0.361,-0.024,0.0,0.001,30193.0,20023.0,1.0
1|practice_id[K83069],0.68,0.085,0.51,0.846,0.001,0.001,28949.0,19319.0,1.0
1|practice_id[K83070],-0.411,0.085,-0.576,-0.242,0.0,0.001,30902.0,18478.0,1.0
1|practice_id[K83074],-0.587,0.333,-1.229,0.073,0.002,0.002,23557.0,17270.0,1.0
1|practice_id[K83076],-0.292,0.088,-0.464,-0.122,0.001,0.001,29846.0,18794.0,1.0
1|practice_id[K83077],0.112,0.088,-0.057,0.289,0.001,0.001,27078.0,19909.0,1.0
1|practice_id[K83079],0.321,0.085,0.151,0.485,0.0,0.001,30067.0,19562.0,1.0
1|practice_id[K83080],0.26,0.086,0.092,0.43,0.0,0.001,29996.0,19940.0,1.0
1|practice_id[K83081],0.317,0.086,0.149,0.485,0.001,0.001,27676.0,18241.0,1.0
1|practice_id[K83601],0.397,0.085,0.228,0.561,0.0,0.001,31843.0,19804.0,1.0
1|practice_id[K83607],0.262,0.086,0.091,0.43,0.001,0.001,29425.0,19768.0,1.0
1|practice_id[K83610],-0.06,0.086,-0.228,0.108,0.0,0.001,30836.0,19523.0,1.0
1|practice_id[K83614],-0.108,0.088,-0.283,0.062,0.001,0.001,29014.0,18753.0,1.0
1|practice_id[K83616],-0.102,0.086,-0.265,0.067,0.0,0.001,29528.0,18079.0,1.0
1|practice_id[K83618],-0.089,0.088,-0.263,0.081,0.001,0.001,28254.0,19424.0,1.0
1|practice_id[K83619],0.002,0.158,-0.306,0.313,0.001,0.001,26836.0,18920.0,1.0
1|practice_id[K83620],-0.359,0.084,-0.523,-0.193,0.0,0.001,31088.0,19180.0,1.0
1|practice_id[K83621],0.136,0.086,-0.034,0.301,0.0,0.001,29890.0,19073.0,1.0
1|practice_id[K83622],-0.074,0.086,-0.245,0.092,0.001,0.001,27511.0,18894.0,1.0
1|practice_id[K83624],0.158,0.084,-0.01,0.318,0.0,0.0,29611.0,19706.0,1.0
1|practice_id[K83625],0.196,0.086,0.031,0.366,0.001,0.001,26691.0,18340.0,1.0
1|practice_id[K84001],-0.106,0.087,-0.284,0.06,0.0,0.001,35609.0,19787.0,1.0
1|practice_id[K84002],0.003,0.086,-0.164,0.171,0.001,0.001,29494.0,19855.0,1.0
1|practice_id[K84003],-0.375,0.089,-0.547,-0.198,0.001,0.001,30009.0,20033.0,1.0
1|practice_id[K84004],-0.101,0.087,-0.269,0.072,0.0,0.001,30820.0,20202.0,1.0
1|practice_id[K84005],0.17,0.139,-0.106,0.434,0.001,0.001,26715.0,17332.0,1.0
1|practice_id[K84006],0.2,0.086,0.03,0.367,0.001,0.001,27889.0,18017.0,1.0
1|practice_id[K84007],0.038,0.087,-0.133,0.204,0.0,0.001,32194.0,19900.0,1.0
1|practice_id[K84008],-0.022,0.085,-0.181,0.155,0.001,0.001,28792.0,18873.0,1.0
1|practice_id[K84009],0.246,0.088,0.075,0.422,0.001,0.001,28038.0,19560.0,1.0
1|practice_id[K84010],-0.332,0.085,-0.501,-0.167,0.001,0.001,28124.0,19588.0,1.0
1|practice_id[K84011],0.634,0.088,0.465,0.809,0.001,0.001,27624.0,19997.0,1.0
1|practice_id[K84012],-0.167,0.085,-0.335,0.0,0.0,0.001,29307.0,18932.0,1.0
1|practice_id[K84013],-0.334,0.086,-0.508,-0.168,0.0,0.001,30024.0,19590.0,1.0
1|practice_id[K84014],-0.482,0.085,-0.648,-0.313,0.001,0.001,28437.0,19408.0,1.0
1|practice_id[K84015],0.125,0.085,-0.046,0.288,0.0,0.001,33086.0,19426.0,1.0
1|practice_id[K84016],-0.227,0.088,-0.398,-0.058,0.0,0.001,30801.0,18767.0,1.0
1|practice_id[K84017],-0.002,0.085,-0.17,0.164,0.0,0.0,29089.0,18926.0,1.0
1|practice_id[K84019],0.173,0.085,0.004,0.336,0.001,0.001,28521.0,19222.0,1.0
1|practice_id[K84020],-0.492,0.087,-0.66,-0.321,0.0,0.001,32103.0,19560.0,1.0
1|practice_id[K84021],0.066,0.087,-0.112,0.232,0.0,0.001,30712.0,20015.0,1.0
1|practice_id[K84022],0.424,0.224,-0.017,0.86,0.001,0.001,25106.0,18303.0,1.0
1|practice_id[K84023],-0.304,0.085,-0.472,-0.138,0.0,0.001,31425.0,20084.0,1.0
1|practice_id[K84024],-0.056,0.085,-0.226,0.107,0.0,0.001,30575.0,19462.0,1.0
1|practice_id[K84025],0.544,0.088,0.367,0.71,0.001,0.001,30469.0,19464.0,1.0
1|practice_id[K84026],0.524,0.088,0.357,0.698,0.001,0.001,29231.0,20101.0,1.0
1|practice_id[K84027],0.067,0.086,-0.099,0.234,0.0,0.001,29373.0,19319.0,1.0
1|practice_id[K84028],-0.603,0.085,-0.769,-0.435,0.001,0.001,28781.0,19284.0,1.0
1|practice_id[K84029],-0.535,0.336,-1.188,0.124,0.002,0.002,24492.0,16685.0,1.0
1|practice_id[K84030],0.415,0.086,0.244,0.582,0.001,0.001,26677.0,19041.0,1.0
1|practice_id[K84031],0.139,0.085,-0.026,0.308,0.0,0.001,34913.0,19821.0,1.0
1|practice_id[K84032],-0.146,0.088,-0.319,0.021,0.001,0.001,27643.0,19891.0,1.0
1|practice_id[K84033],-0.463,0.086,-0.635,-0.298,0.001,0.001,28733.0,19139.0,1.0
1|practice_id[K84034],0.112,0.086,-0.066,0.271,0.001,0.001,29107.0,19314.0,1.0
1|practice_id[K84035],0.142,0.087,-0.029,0.312,0.0,0.001,31414.0,19647.0,1.0
1|practice_id[K84036],0.056,0.086,-0.116,0.225,0.0,0.001,29870.0,20298.0,1.0
1|practice_id[K84037],-0.18,0.085,-0.346,-0.015,0.001,0.001,28642.0,19737.0,1.0
1|practice_id[K84038],0.938,0.087,0.764,1.102,0.0,0.001,31547.0,19908.0,1.0
1|practice_id[K84039],-0.367,0.236,-0.831,0.087,0.001,0.001,25451.0,18759.0,1.0
1|practice_id[K84040],0.469,0.086,0.301,0.637,0.0,0.001,30253.0,19603.0,1.0
1|practice_id[K84041],-0.299,0.085,-0.462,-0.128,0.0,0.001,33378.0,19498.0,1.0
1|practice_id[K84042],0.604,0.086,0.435,0.772,0.0,0.001,29778.0,19575.0,1.0
1|practice_id[K84043],-0.561,0.086,-0.73,-0.391,0.001,0.001,29646.0,19379.0,1.0
1|practice_id[K84044],-0.217,0.088,-0.392,-0.049,0.001,0.001,29427.0,19759.0,1.0
1|practice_id[K84045],0.666,0.088,0.49,0.838,0.001,0.001,29135.0,19940.0,1.0
1|practice_id[K84046],0.167,0.086,0.003,0.339,0.001,0.001,29140.0,19360.0,1.0
1|practice_id[K84047],-0.221,0.085,-0.39,-0.056,0.001,0.001,28564.0,19186.0,1.0
1|practice_id[K84048],0.6,0.087,0.432,0.774,0.001,0.001,29308.0,19552.0,1.0
1|practice_id[K84049],0.046,0.088,-0.126,0.219,0.001,0.001,29525.0,19313.0,1.0
1|practice_id[K84050],-0.063,0.086,-0.232,0.107,0.0,0.001,29691.0,19509.0,1.0
1|practice_id[K84051],0.212,0.085,0.044,0.378,0.001,0.001,28391.0,19534.0,1.0
1|practice_id[K84052],0.422,0.087,0.246,0.589,0.0,0.001,31116.0,19878.0,1.0
1|practice_id[K84054],-0.026,0.086,-0.195,0.141,0.001,0.001,27174.0,19163.0,1.0
1|practice_id[K84055],-0.062,0.086,-0.23,0.106,0.0,0.001,31524.0,19922.0,1.0
1|practice_id[K84056],-0.055,0.085,-0.223,0.109,0.0,0.001,31233.0,19163.0,1.0
1|practice_id[K84058],0.187,0.086,0.016,0.352,0.001,0.001,29029.0,18520.0,1.0
1|practice_id[K84059],0.313,0.086,0.142,0.477,0.0,0.001,31649.0,19164.0,1.0
1|practice_id[K84060],0.066,0.088,-0.104,0.239,0.001,0.001,29180.0,19772.0,1.0
1|practice_id[K84062],-0.196,0.086,-0.36,-0.022,0.001,0.001,29017.0,18975.0,1.0
1|practice_id[K84063],-0.121,0.088,-0.293,0.053,0.001,0.001,27877.0,18753.0,1.0
1|practice_id[K84065],-0.444,0.087,-0.613,-0.275,0.0,0.001,31843.0,18467.0,1.0
1|practice_id[K84066],-0.31,0.088,-0.482,-0.136,0.001,0.001,27234.0,19067.0,1.0
1|practice_id[K84071],0.18,0.085,0.013,0.347,0.0,0.001,30633.0,18670.0,1.0
1|practice_id[K84072],0.494,0.085,0.33,0.66,0.001,0.0,27706.0,20091.0,1.0
1|practice_id[K84073],0.561,0.171,0.226,0.89,0.001,0.001,24456.0,18806.0,1.0
1|practice_id[K84074],1.349,0.214,0.936,1.778,0.001,0.001,23914.0,18339.0,1.0
1|practice_id[K84075],-0.213,0.086,-0.378,-0.043,0.0,0.001,29630.0,20030.0,1.0
1|practice_id[K84076],1.153,0.188,0.784,1.517,0.001,0.001,26057.0,18426.0,1.0
1|practice_id[K84077],-0.758,0.24,-1.236,-0.3,0.001,0.001,26091.0,18480.0,1.0
1|practice_id[K84078],0.038,0.088,-0.136,0.207,0.001,0.001,29217.0,19744.0,1.0
