,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A82641],-1.014,0.213,-1.405,-0.604,0.001,0.001,27080.0,18285.0,1.0
1|practice_id[A82642],-0.192,0.192,-0.545,0.172,0.001,0.001,27070.0,17976.0,1.0
1|practice_id[A82646],-0.182,0.086,-0.343,-0.019,0.0,0.001,29835.0,19662.0,1.0
1|practice_id[A82647],-0.06,0.086,-0.223,0.1,0.001,0.001,29835.0,20102.0,1.0
1|practice_id[A82650],0.316,0.086,0.159,0.482,0.0,0.001,32079.0,20495.0,1.0
1|practice_id[A82651],-0.062,0.086,-0.218,0.102,0.0,0.001,31244.0,19066.0,1.0
1|practice_id[A82654],0.55,0.086,0.39,0.715,0.0,0.001,31330.0,19704.0,1.0
1|practice_id[A83004],0.381,0.091,0.215,0.558,0.001,0.001,29485.0,19018.0,1.0
1|practice_id[A83005],-0.125,0.086,-0.284,0.038,0.0,0.001,30730.0,19110.0,1.0
1|practice_id[A83006],0.116,0.086,-0.044,0.279,0.0,0.001,31220.0,18023.0,1.0
1|practice_id[A83007],0.485,0.085,0.328,0.648,0.0,0.001,31323.0,19879.0,1.0
1|practice_id[A83008],0.067,0.086,-0.091,0.233,0.0,0.001,31464.0,18397.0,1.0
1|practice_id[A83009],0.016,0.087,-0.143,0.184,0.001,0.001,29217.0,19567.0,1.0
1|practice_id[A83010],0.114,0.086,-0.051,0.273,0.0,0.0,29662.0,20139.0,1.0
1|practice_id[A83012],0.015,0.086,-0.147,0.177,0.001,0.001,28460.0,20012.0,1.0
1|practice_id[A83013],-0.083,0.085,-0.248,0.072,0.0,0.001,31181.0,19479.0,1.0
1|practice_id[A83014],0.183,0.086,0.022,0.344,0.001,0.001,29117.0,19403.0,1.0
1|practice_id[A83015],-0.47,0.086,-0.629,-0.306,0.0,0.001,30871.0,19346.0,1.0
1|practice_id[A83016],-0.225,0.086,-0.388,-0.061,0.0,0.001,33286.0,19107.0,1.0
1|practice_id[A83017],-0.468,0.092,-0.638,-0.294,0.001,0.001,28728.0,20174.0,1.0
1|practice_id[A83018],0.409,0.086,0.246,0.572,0.001,0.001,29623.0,19820.0,1.0
1|practice_id[A83019],-0.563,0.095,-0.746,-0.389,0.001,0.001,28545.0,19452.0,1.0
1|practice_id[A83021],0.188,0.086,0.03,0.353,0.0,0.001,30155.0,19249.0,1.0
1|practice_id[A83023],-0.104,0.087,-0.266,0.061,0.0,0.001,36062.0,19386.0,1.0
1|practice_id[A83024],-0.521,0.086,-0.684,-0.358,0.0,0.001,32532.0,18673.0,1.0
1|practice_id[A83025],-0.039,0.086,-0.198,0.124,0.0,0.001,31189.0,19393.0,1.0
1|practice_id[A83026],0.229,0.088,0.064,0.389,0.0,0.001,34743.0,19243.0,1.0
1|practice_id[A83027],-0.096,0.087,-0.263,0.065,0.0,0.001,31073.0,19918.0,1.0
1|practice_id[A83028],-0.004,0.087,-0.172,0.157,0.001,0.001,29081.0,19458.0,1.0
1|practice_id[A83029],-0.173,0.086,-0.331,-0.006,0.0,0.001,30655.0,18859.0,1.0
1|practice_id[A83031],-0.196,0.086,-0.359,-0.036,0.001,0.001,28495.0,18266.0,1.0
1|practice_id[A83032],-0.457,0.086,-0.622,-0.3,0.001,0.001,29007.0,19230.0,1.0
1|practice_id[A83033],-0.345,0.086,-0.51,-0.186,0.0,0.001,34962.0,18880.0,1.0
1|practice_id[A83034],0.217,0.086,0.053,0.377,0.0,0.001,32575.0,19616.0,1.0
1|practice_id[A83037],-0.163,0.086,-0.326,-0.002,0.0,0.001,31590.0,18974.0,1.0
1|practice_id[A83038],-0.302,0.086,-0.462,-0.137,0.0,0.001,34456.0,19353.0,1.0
1|practice_id[A83040],-0.472,0.085,-0.632,-0.311,0.0,0.001,29483.0,20358.0,1.0
1|practice_id[A83041],0.185,0.086,0.026,0.349,0.001,0.001,29369.0,19630.0,1.0
1|practice_id[A83042],-0.224,0.107,-0.433,-0.03,0.001,0.001,26002.0,18995.0,1.0
1|practice_id[A83043],-0.121,0.086,-0.282,0.041,0.001,0.001,29015.0,19499.0,1.0
1|practice_id[A83044],0.064,0.086,-0.101,0.222,0.0,0.001,31039.0,19445.0,1.0
1|practice_id[A83045],-0.244,0.086,-0.404,-0.085,0.0,0.001,29542.0,19190.0,1.0
1|practice_id[A83046],-0.294,0.086,-0.462,-0.137,0.001,0.001,29417.0,18215.0,1.0
1|practice_id[A83047],0.634,0.086,0.469,0.792,0.0,0.001,29968.0,19145.0,1.0
1|practice_id[A83048],-0.002,0.086,-0.164,0.158,0.0,0.001,29652.0,19186.0,1.0
1|practice_id[A83049],0.351,0.086,0.19,0.515,0.0,0.001,31745.0,19401.0,1.0
1|practice_id[A83050],-0.041,0.087,-0.202,0.126,0.0,0.001,33304.0,18661.0,1.0
1|practice_id[A83051],-0.446,0.086,-0.607,-0.284,0.001,0.001,28749.0,19273.0,1.0
1|practice_id[A83054],0.284,0.086,0.12,0.443,0.001,0.001,28949.0,20013.0,1.0
1|practice_id[A83055],-0.225,0.086,-0.385,-0.062,0.001,0.001,29209.0,19492.0,1.0
1|practice_id[A83057],-0.28,0.086,-0.44,-0.116,0.0,0.001,32238.0,19493.0,1.0
1|practice_id[A83060],0.162,0.087,-0.004,0.321,0.0,0.001,30817.0,19365.0,1.0
1|practice_id[A83061],0.165,0.085,0.008,0.327,0.0,0.001,31443.0,19639.0,1.0
1|practice_id[A83066],0.093,0.086,-0.07,0.252,0.0,0.001,31707.0,18758.0,1.0
1|practice_id[A83068],-0.211,0.209,-0.605,0.182,0.001,0.001,24281.0,18134.0,1.0
1|practice_id[A83070],-0.456,0.087,-0.618,-0.292,0.001,0.001,29065.0,19703.0,1.0
1|practice_id[A83071],0.001,0.086,-0.163,0.157,0.0,0.001,29436.0,19233.0,1.0
1|practice_id[A83073],0.497,0.086,0.329,0.654,0.0,0.001,37764.0,19123.0,1.0
1|practice_id[A83074],0.558,0.086,0.392,0.716,0.0,0.001,31207.0,19885.0,1.0
1|practice_id[A83075],-0.73,0.086,-0.895,-0.573,0.001,0.0,28394.0,20793.0,1.0
1|practice_id[A83076],-0.261,0.103,-0.458,-0.073,0.001,0.001,27732.0,19753.0,1.0
1|practice_id[A83610],0.141,0.086,-0.017,0.306,0.0,0.001,29630.0,19838.0,1.0
1|practice_id[A83616],-0.395,0.087,-0.557,-0.231,0.0,0.001,33631.0,19613.0,1.0
1|practice_id[A83618],0.332,0.085,0.175,0.495,0.0,0.001,32042.0,18629.0,1.0
1|practice_id[A83619],0.003,0.086,-0.157,0.165,0.001,0.001,28833.0,19564.0,1.0
1|practice_id[A83626],-0.254,0.085,-0.409,-0.09,0.0,0.001,29578.0,19750.0,1.0
1|practice_id[A83627],-0.132,0.086,-0.296,0.027,0.0,0.001,29995.0,20120.0,1.0
1|practice_id[A83632],-0.357,0.088,-0.522,-0.193,0.0,0.001,33590.0,18394.0,1.0
1|practice_id[A83634],0.263,0.086,0.104,0.427,0.001,0.001,28726.0,18591.0,1.0
1|practice_id[A83635],0.11,0.086,-0.049,0.273,0.001,0.0,28141.0,20344.0,1.0
1|practice_id[A83636],0.322,0.087,0.163,0.489,0.001,0.001,28488.0,18897.0,1.0
1|practice_id[A83637],-0.401,0.087,-0.564,-0.24,0.0,0.001,33079.0,19674.0,1.0
1|practice_id[A83638],-0.934,0.163,-1.238,-0.626,0.001,0.001,25210.0,18916.0,1.0
1|practice_id[A83641],0.119,0.086,-0.039,0.282,0.0,0.001,33664.0,19420.0,1.0
1|practice_id[A83644],0.236,0.087,0.074,0.403,0.0,0.001,36686.0,20107.0,1.0
1|practice_id[A84002],0.052,0.087,-0.115,0.212,0.0,0.001,34618.0,18857.0,1.0
1|practice_id[A84003],0.194,0.086,0.031,0.354,0.0,0.001,31856.0,19692.0,1.0
1|practice_id[A84005],-0.08,0.087,-0.245,0.082,0.0,0.001,32814.0,18232.0,1.0
1|practice_id[A84006],0.144,0.086,-0.017,0.307,0.001,0.001,27785.0,18914.0,1.0
1|practice_id[A84007],0.181,0.086,0.025,0.346,0.0,0.001,30854.0,19073.0,1.0
