station_id,kind,mean_flagged,mean_nonflagged,rel_change,n_flagged,n_nonflagged,p_value
B81616,flood,139.55555555555554,132.7843137254902,0.050994290214225066,9,51,0.4133096100940191
B81617,flood,354.8888888888889,279.3529411764706,0.2703961067817466,9,51,0.0036281945399075943
B81619,flood,67.66666666666667,81.49019607843137,-0.16963426371302892,9,51,0.19914514210154155
B81628,flood,159.0,155.14545454545456,0.02484472049673421,5,55,0.6492921819639683
B81631,flood,174.55555555555554,163.58823529411765,0.06704223101161612,9,51,0.2297308021804353
B81635,flood,149.2,162.16363636363636,-0.07994169749922676,5,55,0.47003387429214616
B81642,flood,228.83333333333334,218.90740740740742,0.04534303358409199,6,54,0.2569232888166999
B81645,flood,25.88888888888889,87.37254901960785,-0.7036953919727958,9,51,0.03647651940347588
B81647,flood,156.33333333333334,138.05882352941177,0.13236756142497508,9,51,0.008532960887095454
B81648,flood,113.2,96.38181818181818,0.1744953782287122,5,55,0.044748361334122654
B81653,flood,301.1111111111111,267.45098039215685,0.12585532746776007,9,51,0.08015541061697105
B81655,flood,109.25,104.05357142857143,0.04993993478585949,4,56,0.35805015007548047
B81656,flood,257.75,252.64285714285714,0.020214871359829533,4,56,0.6673586260785596
B81663,flood,116.75,106.32142857142857,0.09808532079182186,4,56,0.3898977146871433
B81665,flood,90.4,78.81818181818181,0.14694348327379902,5,55,0.09439168073611057
B81666,flood,83.44444444444444,67.31372549019608,0.23963491600770323,9,51,0.0434335985957272
B81675,flood,447.44444444444446,374.70588235294116,0.19412175126409043,9,51,0.06096576244511318
B81697,flood,150.25,144.51785714285714,0.039663907079918334,4,56,0.4150064959607026
B82004,flood,519.75,480.89285714285717,0.08080207946511228,4,56,0.18720446245589561
B82008,flood,412.75,336.60714285714283,0.22620689655105222,4,56,0.0340851126334058
B82010,flood,302.0,306.75,-0.015484922575336643,4,56,0.7556257428114451
B82011,flood,270.8888888888889,241.88235294117646,0.11992001729306251,9,51,0.1063043991837097
B82012,flood,518.25,469.9107142857143,0.10286908607236328,4,56,0.15057980226148482
B82013,flood,794.75,705.1071428571429,0.12713366762885273,4,56,0.08037738894133604
B82014,flood,209.25,181.44642857142858,0.15323294951199865,4,56,0.08292307388811317
B82016,flood,300.5,306.51785714285717,-0.019632974075088953,4,56,0.9291402607825533
B82017,flood,592.75,548.9107142857143,0.07986596831372278,4,56,0.11967751441451976
B82023,flood,285.0,307.55357142857144,-0.07333217209521536,4,56,0.350497229999158
B82024,flood,550.5555555555555,518.9215686274509,0.060961017696211074,9,51,0.3902462707722132
B82025,flood,1057.75,901.9107142857143,0.17278793038569545,4,56,0.012268950794234224
B82027,flood,580.75,577.9285714285714,0.004881967618332891,4,56,0.8705181636992956
B82029,flood,178.0,177.28571428571428,0.00402900886379682,4,56,0.9881745802268641
B82030,flood,255.75,248.19642857142858,0.030433844161327796,4,56,0.5533297705464888
B82031,flood,406.6666666666667,480.8421052631579,-0.15426152948012287,3,57,0.0777493143311257
B82033,flood,599.75,513.875,0.1671126246652063,4,56,0.02830488637650893
B82034,flood,288.75,270.625,0.06697459584270864,4,56,0.2727391589813576
B82035,flood,183.0,175.33928571428572,0.04369080354389988,4,56,0.35815706989220664
B82036,flood,349.75,349.25,0.0014316392269107183,4,56,0.8125782093357322
B82037,flood,462.44444444444446,481.27450980392155,-0.039125415902682266,9,51,0.7170707107039436
B82038,flood,1193.2222222222222,1203.8431372549019,-0.00882250743804507,9,51,0.9669719117341936
B82041,flood,636.0,802.578947368421,-0.20755459374359345,3,57,0.06209253149726904
B82054,flood,864.1111111111111,791.9019607843137,0.09118445704464348,9,51,0.056823257045619795
B82059,flood,407.0,414.60714285714283,-0.018347833577352538,4,56,0.8705110303830228
B82060,flood,602.25,529.0714285714286,0.1383151073306418,4,56,0.04872853442205399
B82061,flood,425.5,374.75,0.13542361574346784,4,56,0.04085499103324006
B82063,flood,492.75,424.01785714285717,0.1620972836382784,4,56,0.01703900861523852
B82066,flood,430.0,431.44642857142856,-0.0033525102437734927,4,56,0.7669424811505154
B82067,flood,356.75,323.5,0.10278207109705477,4,56,0.21870457622849993
B82069,flood,423.75,354.125,0.1966113660425087,4,56,0.03941872991791215
B82072,flood,188.5,199.26785714285714,-0.054037100098303946,4,56,0.5733188894339711
B82073,flood,358.6666666666667,372.3157894736842,-0.03666006973885166,3,57,0.6348615599166465
B82074,flood,570.3333333333334,675.438596491228,-0.15561038961015916,3,57,0.07494784858768644
B82078,flood,293.25,290.75,0.00859845227856028,4,56,0.8125603156638086
B82081,flood,393.75,327.17857142857144,0.2034712367639234,4,56,0.012261711232422407
B82088,flood,483.6666666666667,442.27450980392155,0.09358928888079576,9,51,0.12297404586532448
B82091,flood,300.75,272.4339622641509,0.10393725327200587,4,56,
B82097,flood,344.6666666666667,379.1929824561403,-0.09105209586355176,3,57,0.4155775604557178
B82101,flood,313.5,262.14285714285717,0.19591280653876209,4,56,0.01773308584746187
B82104,flood,306.0,317.0892857142857,-0.034972123669428506,4,56,0.6248169126795404
B82105,flood,352.3333333333333,404.8421052631579,-0.12970185474053603,3,57,0.14001040322232605
B82106,flood,211.33333333333334,221.62745098039215,-0.046447845704470546,9,51,0.8359534132970554
B82622,flood,59.5,66.82142857142857,-0.10956707642807699,4,56,0.18156795337126552
B82628,flood,249.88888888888889,233.76470588235293,0.06897612257421709,9,51,0.2103338414521072
