,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A82654],0.342,0.088,0.174,0.503,0.0,0.001,31018.0,20529.0,1.0
1|practice_id[A83004],0.856,0.092,0.69,1.034,0.001,0.001,31470.0,19001.0,1.0
1|practice_id[A83005],-0.422,0.089,-0.595,-0.258,0.0,0.001,32481.0,19732.0,1.0
1|practice_id[A83006],0.054,0.088,-0.115,0.216,0.0,0.001,35717.0,19729.0,1.0
1|practice_id[A83007],0.311,0.087,0.147,0.475,0.001,0.001,29522.0,19169.0,1.0
1|practice_id[A83008],0.034,0.089,-0.137,0.197,0.0,0.001,33021.0,18588.0,1.0
1|practice_id[A83009],0.486,0.088,0.312,0.644,0.0,0.001,32359.0,18993.0,1.0
1|practice_id[A83010],-0.154,0.088,-0.322,0.008,0.0,0.001,31786.0,20571.0,1.0
1|practice_id[A83012],0.628,0.088,0.467,0.799,0.001,0.001,29960.0,17975.0,1.0
1|practice_id[A83013],0.061,0.087,-0.109,0.219,0.0,0.001,31014.0,19677.0,1.0
1|practice_id[A83014],-0.15,0.088,-0.315,0.015,0.0,0.001,31431.0,19888.0,1.0
1|practice_id[A83015],-0.142,0.087,-0.308,0.02,0.0,0.001,31369.0,19201.0,1.0
1|practice_id[A83016],0.281,0.09,0.11,0.448,0.0,0.001,34521.0,19226.0,1.0
1|practice_id[A83017],0.323,0.093,0.146,0.496,0.001,0.001,33064.0,20195.0,1.0
1|practice_id[A83018],0.755,0.088,0.589,0.919,0.0,0.001,33363.0,19909.0,1.0
1|practice_id[A83019],0.016,0.095,-0.158,0.2,0.001,0.001,32238.0,19468.0,1.0
1|practice_id[A83021],0.006,0.088,-0.154,0.177,0.0,0.001,31079.0,19599.0,1.0
1|practice_id[A83023],0.312,0.089,0.138,0.473,0.0,0.001,35303.0,19124.0,1.0
1|practice_id[A83024],-0.01,0.088,-0.181,0.15,0.0,0.001,31340.0,19892.0,1.0
1|practice_id[A83025],0.423,0.088,0.26,0.591,0.0,0.001,32900.0,20104.0,1.0
